id,comentario_original,texto_limpio,tokens_utiles,palabras_frecuentes,categoria,sentimiento
1,"El profesor explica muy bien, pero deja demasiadas tareas.",el profesor explica muy bien pero deja demasiadas tareas,"profesor, explica, bien, deja, demasiadas, tareas","profesor:1, explica:1, bien:1, deja:1, demasiadas:1",docente,mixto
2,"La clase es interesante, aunque a veces va muy rápido.",la clase es interesante aunque a veces va muy rapido,"clase, interesante, veces, rapido","clase:1, interesante:1, veces:1, rapido:1",contenido,mixto
3,No entendí bien los temas porque faltaron ejemplos prácticos.,no entendi bien los temas porque faltaron ejemplos practicos,"entendi, bien, temas, porque, faltaron, ejemplos, practicos","entendi:1, bien:1, temas:1, porque:1, faltaron:1",contenido,mixto
4,"Excelente materia, me gustó trabajar con casos reales.",excelente materia me gusto trabajar con casos reales,"excelente, materia, gusto, trabajar, casos, reales","excelente:1, materia:1, gusto:1, trabajar:1, casos:1",contenido,positivo
5,"El docente domina el tema, pero debería organizar mejor los tiempos.",el docente domina el tema pero deberia organizar mejor los tiempos,"docente, domina, tema, deberia, organizar, mejor, tiempos","docente:1, domina:1, tema:1, deberia:1, organizar:1",docente,neutral
6,La plataforma falló varias veces durante la entrega.,la plataforma fallo varias veces durante la entrega,"plataforma, fallo, varias, veces, entrega","plataforma:1, fallo:1, varias:1, veces:1, entrega:1",plataforma,negativo
7,Me gustaría que hubiera más prácticas y menos teoría.,me gustaria que hubiera mas practicas y menos teoria,"gustaria, hubiera, mas, practicas, menos, teoria","gustaria:1, hubiera:1, mas:1, practicas:1, menos:1",contenido,neutral
8,"El contenido es útil, pero algunos conceptos fueron confusos.",el contenido es util pero algunos conceptos fueron confusos,"contenido, util, algunos, conceptos, fueron, confusos","contenido:1, util:1, algunos:1, conceptos:1, fueron:1",contenido,mixto
9,El profesor resolvió dudas con paciencia y claridad.,el profesor resolvio dudas con paciencia y claridad,"profesor, resolvio, dudas, paciencia, claridad","profesor:1, resolvio:1, dudas:1, paciencia:1, claridad:1",docente,positivo
10,"La actividad fue buena, aunque el tiempo no alcanzó.",la actividad fue buena aunque el tiempo no alcanzo,"actividad, buena, tiempo, alcanzo","actividad:1, buena:1, tiempo:1, alcanzo:1",contenido,positivo
11,No me gustó que la explicación fuera demasiado rápida.,no me gusto que la explicacion fuera demasiado rapida,"gusto, explicacion, fuera, demasiado, rapida","gusto:1, explicacion:1, fuera:1, demasiado:1, rapida:1",docente,mixto
12,La plataforma no permitió subir el archivo a tiempo.,la plataforma no permitio subir el archivo a tiempo,"plataforma, permitio, subir, archivo, tiempo","plataforma:1, permitio:1, subir:1, archivo:1, tiempo:1",plataforma,negativo
13,El tema fue relevante para mi trabajo profesional.,el tema fue relevante para mi trabajo profesional,"tema, relevante, trabajo, profesional","tema:1, relevante:1, trabajo:1, profesional:1",contenido,positivo
14,La clase tuvo mucha teoría y poca aplicación.,la clase tuvo mucha teoria y poca aplicacion,"clase, mucha, teoria, poca, aplicacion","clase:1, mucha:1, teoria:1, poca:1, aplicacion:1",contenido,negativo
15,La práctica ayudó a entender mejor el concepto.,la practica ayudo a entender mejor el concepto,"practica, ayudo, entender, mejor, concepto","practica:1, ayudo:1, entender:1, mejor:1, concepto:1",contenido,positivo
16,"El docente fue claro, pero faltó retroalimentación.",el docente fue claro pero falto retroalimentacion,"docente, claro, falto, retroalimentacion","docente:1, claro:1, falto:1, retroalimentacion:1",docente,positivo
17,El material estaba organizado y fue fácil de seguir.,el material estaba organizado y fue facil de seguir,"material, estaba, organizado, facil, seguir","material:1, estaba:1, organizado:1, facil:1, seguir:1",contenido,positivo
18,El sistema se cayó durante la entrega final.,el sistema se cayo durante la entrega final,"sistema, cayo, entrega, final","sistema:1, cayo:1, entrega:1, final:1",plataforma,negativo
19,Me pareció excelente trabajar con ejemplos reales.,me parecio excelente trabajar con ejemplos reales,"parecio, excelente, trabajar, ejemplos, reales","parecio:1, excelente:1, trabajar:1, ejemplos:1, reales:1",sin_categoria,positivo
20,"El contenido fue confuso al inicio, pero la práctica ayudó.",el contenido fue confuso al inicio pero la practica ayudo,"contenido, confuso, inicio, practica, ayudo","contenido:1, confuso:1, inicio:1, practica:1, ayudo:1",contenido,mixto
